analysis_split,condition_id,policy_id,n,unique_facts,generated_parametric_rate,generated_context_rate,distinct_candidate_n,distinct_generated_parametric_rate,distinct_generated_context_rate,other_rate,unparseable_rate,irrelevant_claim_rate,policy_compliance_rate,mean_context_minus_parametric_margin,mean_parametric_answer_logprob,mean_awareness_probe_logit
ood_relation_paraphrase,true_irrelevant,context,118,118,1.0,0.0,118,1.0,0.0,0.0,0.0,0.0,,,-0.003836942931353036,-1.6056889449691636
ood_relation_paraphrase,true_irrelevant,neutral,118,118,1.0,0.0,118,1.0,0.0,0.0,0.0,0.0,,,-0.000453601449222888,-4.596170410306377
ood_relation_paraphrase,true_irrelevant,parametric,118,118,1.0,0.0,118,1.0,0.0,0.0,0.0,0.0,1.0,,-0.005711304939399331,-4.531303774720918
ood_relation_paraphrase,true_relevant,context,118,118,1.0,1.0,0,,,0.0,0.0,0.0,1.0,,-1.616397146451271e-07,-3.011723033387001
ood_relation_paraphrase,true_relevant,neutral,118,118,1.0,1.0,0,,,0.0,0.0,0.0,,,-1.9396765757415255e-07,-3.426541707953411
ood_relation_paraphrase,true_relevant,parametric,118,118,1.0,1.0,0,,,0.0,0.0,0.0,1.0,,-6.465588585805085e-08,-3.3203220816874066
paraphrase_test,false_irrelevant,context,28,28,0.9642857142857143,0.0,28,0.9642857142857143,0.0,0.03571428571428571,0.0,0.0,,,-0.1745326348713466,-0.9140565520159473
paraphrase_test,false_irrelevant,neutral,28,28,1.0,0.0,28,1.0,0.0,0.0,0.0,0.0,,,-0.006353122847420829,-3.0832270416747107
paraphrase_test,false_irrelevant,parametric,28,28,1.0,0.0,28,1.0,0.0,0.0,0.0,0.0,1.0,,-0.018574186733790805,-3.4151089591263295
paraphrase_test,false_relevant,context,28,28,0.03571428571428571,0.9642857142857143,28,0.03571428571428571,0.9642857142857143,0.0,0.0,0.0,0.9642857142857143,6.231140324047634,-6.497344732284546,8.583844620166541
paraphrase_test,false_relevant,neutral,28,28,0.6428571428571429,0.35714285714285715,28,0.6428571428571429,0.35714285714285715,0.0,0.0,0.0,,-6.073446341923305,-1.255655254636492,9.414678210521492
paraphrase_test,false_relevant,parametric,28,28,1.0,0.0,28,1.0,0.0,0.0,0.0,0.0,1.0,-30.410902351140976,-0.009321025439671107,5.277330202905054
paraphrase_test,true_irrelevant,context,28,28,0.9642857142857143,0.0,28,0.9642857142857143,0.0,0.03571428571428571,0.0,0.0,,,-0.25011136702128817,-2.8198101650642333
paraphrase_test,true_irrelevant,neutral,28,28,1.0,0.0,28,1.0,0.0,0.0,0.0,0.0,,,-0.002663663455418178,-4.613549851308205
paraphrase_test,true_irrelevant,parametric,28,28,1.0,0.0,28,1.0,0.0,0.0,0.0,0.0,1.0,,-0.008398703166416712,-4.05824901097862
paraphrase_test,true_relevant,context,28,28,1.0,1.0,0,,,0.0,0.0,0.0,1.0,,-2.384185791015625e-06,-2.6731950874559476
paraphrase_test,true_relevant,neutral,28,28,1.0,1.0,0,,,0.0,0.0,0.0,,,-2.486365182059152e-06,-2.7716037864075465
paraphrase_test,true_relevant,parametric,28,28,0.9642857142857143,0.9642857142857143,0,,,0.0,0.03571428571428571,0.0,0.9642857142857143,,-4.046303885323661e-05,-2.69037836111949
validation,false_irrelevant,context,30,30,0.0,0.0,30,0.0,0.0,0.9666666666666667,0.03333333333333333,0.0,,,-11.417260615030925,-1.77757253906228
validation,false_irrelevant,neutral,30,30,1.0,0.0,30,1.0,0.0,0.0,0.0,0.0,,,-0.0027820587158203123,-1.8263205293002656
validation,false_irrelevant,parametric,30,30,1.0,0.0,30,1.0,0.0,0.0,0.0,0.0,1.0,,-0.002642695109049479,-2.9661389437597894
validation,false_relevant,context,30,30,0.03333333333333333,0.6666666666666666,30,0.03333333333333333,0.6666666666666666,0.3,0.0,0.0,0.6666666666666666,5.0423539479573565,-6.3314892768859865,7.9369850007373985
validation,false_relevant,neutral,30,30,0.9333333333333333,0.03333333333333333,30,0.9333333333333333,0.03333333333333333,0.03333333333333333,0.0,0.0,,-16.1506134668986,-0.17285919189453125,6.986533892109836
validation,false_relevant,parametric,30,30,1.0,0.0,30,1.0,0.0,0.0,0.0,0.0,1.0,-30.767154276371002,-0.0010681788126627604,2.739108257055716
validation,true_irrelevant,context,30,30,0.0,0.0,30,0.0,0.0,0.9666666666666667,0.03333333333333333,0.0,,,-13.063683319091798,-2.8878385468732573
validation,true_irrelevant,neutral,30,30,1.0,0.0,30,1.0,0.0,0.0,0.0,0.0,,,-0.00453481674194336,-3.3176469079061266
validation,true_irrelevant,parametric,30,30,1.0,0.0,30,1.0,0.0,0.0,0.0,0.0,1.0,,-0.0036117235819498696,-3.7746249683947024
validation,true_relevant,context,30,30,1.0,1.0,0,,,0.0,0.0,0.0,1.0,,-0.005572223663330078,-1.7169680118168487
validation,true_relevant,neutral,30,30,1.0,1.0,0,,,0.0,0.0,0.0,,,-0.008695570627848308,-2.333984038079636
validation,true_relevant,parametric,30,30,1.0,0.9666666666666667,0,,,0.0,0.0,0.0,1.0,,-0.030650583902994792,-3.074940797145733
